                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8722,                 6.4149,                0.97824,                0.57373,                0.26966,                 0.3816,                0.12719,                  2.538,                 2.5617,                 0.8957,               0.070238,              0.0033069,              0.0033069
                      1,                 2.7909,                 2.2636,                0.93336,                0.66974,                0.46067,                0.48002,                0.15884,                 2.4885,                 1.8756,                0.89112,               0.040107,              0.0065087,              0.0065087
                      2,                 2.8251,                 2.0706,                0.94371,                0.51077,                0.46925,                0.44891,                0.15028,                 2.5524,                 1.9536,                0.88864,              0.0098431,              0.0095786,              0.0095786
                      3,                 2.9007,                 2.2925,                0.95723,                0.75956,                0.60345,                0.67681,                0.18537,                 2.5173,                 1.7812,                0.87751,               0.009406,               0.009406,               0.009406
                      4,                 2.5809,                 1.9194,                0.92759,                0.42296,                0.35955,                0.34711,                0.12815,                 2.2886,                 2.1751,                0.87018,               0.009406,               0.009406,               0.009406
                      5,                 2.4714,                  1.683,                0.91999,                0.45519,                0.42247,                0.44457,                0.18351,                 2.2634,                 1.8617,                0.87125,               0.009208,               0.009208,               0.009208
                      6,                 2.3635,                 1.7552,                 0.9038,                 0.7944,                0.57303,                0.68584,                0.24494,                 2.3367,                 1.4949,                0.88401,                0.00901,                0.00901,                0.00901
                      7,                 2.2629,                 1.5791,                0.88112,                0.84808,                0.67416,                0.74349,                0.36716,                 1.9178,                 1.2512,                0.83757,               0.008812,               0.008812,               0.008812
                      8,                 2.2058,                 1.3768,                0.88562,                0.85619,                0.70787,                0.80575,                0.42495,                 1.8026,                 1.0894,                0.84629,               0.008614,               0.008614,               0.008614
                      9,                 2.1243,                 1.4174,                0.88634,                0.85052,                0.75281,                0.81172,                0.40114,                 1.7652,                0.99221,                0.83142,               0.008416,               0.008416,               0.008416
                     10,                 2.1144,                 1.2816,                0.87818,                0.81589,                0.69711,                0.75829,                0.40881,                 1.6919,                 1.2356,                0.84876,               0.008218,               0.008218,               0.008218
                     11,                 2.0412,                 1.2641,                0.87984,                 0.8592,                0.75425,                0.82686,                0.37729,                 1.8231,                 1.3107,                0.84375,                0.00802,                0.00802,                0.00802
                     12,                 1.9472,                 1.1984,                0.86768,                 0.8883,                0.80426,                0.87534,                0.49236,                 1.5884,                0.87393,                 0.8264,               0.007822,               0.007822,               0.007822
                     13,                  1.942,                 1.1107,                0.85484,                0.91438,                0.75281,                0.85486,                0.50348,                 1.5924,                0.85013,                0.81721,               0.007624,               0.007624,               0.007624
                     14,                 1.9145,                 1.1091,                0.85666,                 0.8787,                0.77528,                0.85696,                0.41913,                 1.8318,                0.88265,                0.83048,               0.007426,               0.007426,               0.007426
                     15,                 1.9338,                 1.0687,                0.86947,                0.82422,                 0.7903,                0.83344,                0.43979,                 1.6034,                0.99747,                0.82598,               0.007228,               0.007228,               0.007228
                     16,                 1.8044,                 1.0694,                0.85097,                0.91781,                0.75283,                0.84893,                0.50346,                  1.366,                 1.4162,                0.80734,                0.00703,                0.00703,                0.00703
                     17,                 1.7778,                 1.0615,                0.85123,                0.91135,                0.73034,                0.83312,                0.44864,                 1.6957,                 1.0576,                0.82573,               0.006832,               0.006832,               0.006832
                     18,                 1.8492,                 1.0654,                   0.86,                0.88402,                0.77085,                0.86842,                0.51297,                 1.5195,                0.83896,                0.81945,               0.006634,               0.006634,               0.006634
                     19,                 1.7852,                 1.0182,                0.85398,                0.97257,                0.79681,                0.89704,                0.54665,                 1.4528,                0.77376,                0.80731,               0.006436,               0.006436,               0.006436
                     20,                 1.7277,                0.92125,                0.84331,                0.96802,                0.76404,                0.88642,                0.54896,                 1.4203,                0.75401,                0.81258,               0.006238,               0.006238,               0.006238
                     21,                 1.7358,                0.90216,                0.84783,                0.94121,                0.76404,                0.87134,                0.53616,                 1.3996,                0.84045,                0.80717,                0.00604,                0.00604,                0.00604
                     22,                 1.6985,                0.88256,                0.84591,                0.89114,                0.78652,                0.86951,                0.53567,                 1.3765,                0.83967,                0.79639,               0.005842,               0.005842,               0.005842
                     23,                 1.6593,                0.88621,                 0.8353,                0.96301,                0.85393,                0.90254,                0.54826,                 1.4383,                 0.7643,                0.79915,               0.005644,               0.005644,               0.005644
                     24,                 1.6486,                0.88187,                0.83605,                0.89343,                0.82022,                0.91412,                 0.5623,                 1.3766,                 0.7856,                0.80511,               0.005446,               0.005446,               0.005446
                     25,                 1.5914,                0.82598,                0.83189,                0.91246,                0.81978,                0.89417,                0.55888,                 1.3487,                0.69701,                0.79993,               0.005248,               0.005248,               0.005248
                     26,                 1.6231,                0.86649,                0.84026,                0.81965,                0.78652,                0.85051,                0.54894,                 1.3104,                0.89232,                 0.8104,                0.00505,                0.00505,                0.00505
                     27,                 1.6142,                0.83249,                0.83333,                 0.9128,                 0.8233,                0.87592,                0.55328,                  1.355,                0.71834,                0.80247,               0.004852,               0.004852,               0.004852
                     28,                 1.5591,                0.78106,                0.83724,                0.94055,                0.82022,                0.90064,                0.57831,                 1.3228,                 0.7373,                0.79917,               0.004654,               0.004654,               0.004654
                     29,                 1.5323,                0.75873,                0.82195,                0.92301,                0.82022,                0.90231,                0.59664,                 1.2273,                0.70923,                 0.8015,               0.004456,               0.004456,               0.004456
                     30,                 1.5587,                0.79386,                0.82517,                0.91307,                0.85393,                0.91828,                0.55124,                 1.3659,                0.66435,                0.79387,               0.004258,               0.004258,               0.004258
                     31,                 1.4684,                0.76252,                0.81572,                0.89037,                0.75281,                0.89761,                0.59748,                 1.3536,                0.81702,                0.79795,                0.00406,                0.00406,                0.00406
                     32,                 1.4942,                0.72249,                0.82196,                0.93565,                0.79775,                0.91214,                0.59653,                 1.2872,                0.76027,                0.80394,               0.003862,               0.003862,               0.003862
                     33,                 1.4347,                0.72424,                0.82447,                0.92807,                0.82022,                0.91306,                 0.5812,                 1.4376,                0.77869,                0.80433,               0.003664,               0.003664,               0.003664
                     34,                 1.4715,                0.70759,                0.82261,                0.93268,                 0.8427,                0.90468,                0.63201,                 1.1618,                0.67904,                 0.7943,               0.003466,               0.003466,               0.003466
                     35,                 1.4202,                0.69361,                0.81836,                0.93119,                0.79775,                0.90327,                0.62117,                 1.2386,                0.79457,                0.79279,               0.003268,               0.003268,               0.003268
                     36,                 1.3934,                0.65953,                0.82413,                0.91533,                0.82022,                0.91667,                0.59573,                  1.268,                0.68082,                0.78662,                0.00307,                0.00307,                0.00307
                     37,                 1.4262,                 0.6964,                0.82538,                0.93487,                0.83146,                0.89356,                0.60546,                 1.2063,                0.67516,                0.78856,               0.002872,               0.002872,               0.002872
                     38,                 1.4046,                0.68358,                0.82145,                0.93665,                 0.8307,                0.91261,                0.62356,                 1.1653,                0.68625,                0.78945,               0.002674,               0.002674,               0.002674
                     39,                 1.3818,                0.68437,                0.81885,                 0.9103,                0.83146,                0.91065,                0.63444,                 1.1193,                0.65467,                0.78992,               0.002476,               0.002476,               0.002476
                     40,                 1.3819,                0.63184,                0.82732,                 0.9261,                 0.8427,                0.91055,                0.64213,                 1.1547,                0.67075,                0.78317,               0.002278,               0.002278,               0.002278
                     41,                 1.3026,                0.59758,                0.82091,                0.92545,                0.83688,                0.91596,                0.62136,                 1.1223,                0.63995,                0.78444,                0.00208,                0.00208,                0.00208
                     42,                  1.278,                0.59694,                0.81729,                0.92531,                0.83525,                0.90888,                0.62665,                 1.1642,                0.62667,                0.78441,               0.001882,               0.001882,               0.001882
                     43,                 1.3007,                0.60699,                0.81978,                0.92171,                0.85393,                0.91438,                0.67558,                 1.0779,                0.63545,                0.78094,               0.001684,               0.001684,               0.001684
                     44,                 1.2821,                0.57385,                 0.8202,                0.92186,                 0.8427,                0.91526,                0.64643,                 1.1356,                0.71067,                0.78296,               0.001486,               0.001486,               0.001486
                     45,                 1.2444,                0.55679,                0.81092,                0.93725,                0.83919,                0.93408,                0.66432,                 1.0955,                0.65335,                0.78054,               0.001288,               0.001288,               0.001288
                     46,                 1.2344,                0.58412,                0.81176,                0.93077,                 0.8427,                0.91461,                0.65256,                 1.0825,                0.64409,                0.78117,                0.00109,                0.00109,                0.00109
                     47,                 1.2448,                0.56127,                0.81976,                0.93108,                0.85393,                0.93544,                0.65994,                 1.1167,                0.61814,                0.77914,               0.000892,               0.000892,               0.000892
                     48,                 1.2262,                0.55039,                0.81171,                 0.9272,                0.85868,                0.93919,                 0.6758,                 1.0503,                 0.5519,                0.77863,               0.000694,               0.000694,               0.000694
                     49,                 1.1791,                0.54068,                 0.8064,                0.92633,                0.84767,                 0.9236,                0.66714,                   1.08,                0.60052,                0.78209,               0.000496,               0.000496,               0.000496
